Team,G ,KO ,Avg ,TB ,Ret ,Avg ,RetTD 
Buffalo Bills,16,75,64.3,19,56,20.4,0
Washington Redskins,16,70,64.5,32,36,20.8,0
Cincinnati Bengals,16,80,66.1,36,44,20.8,0
New York Jets,16,79,64.8,17,61,21.2,0
Dallas Cowboys,16,86,64.8,33,52,21.4,0
New England Patriots,16,102,66.2,41,60,21.6,0
Houston Texans,16,84,65.7,38,46,22.4,0
Tennessee Titans,16,76,65.1,44,30,22.7,0
Tampa Bay Buccaneers,16,63,66,37,25,22.8,1
Miami Dolphins,16,81,66,40,41,22.9,0
New York Giants,16,80,65.4,34,46,22.9,0
Cleveland Browns,16,56,65.4,10,46,22.9,1
Philadelphia Eagles,16,84,64.9,32,51,23.1,0
San Francisco 49ers,16,93,66.6,47,46,23.1,0
Green Bay Packers,16,108,65,49,59,23.4,0
Pittsburgh Steelers,16,72,66,28,43,23.7,0
Kansas City Chiefs,16,57,64.1,31,25,24.2,0
Jacksonville Jaguars,16,65,66,39,26,24.3,0
Chicago Bears,16,80,65.2,43,35,24.4,0
Denver Broncos,16,68,65.8,47,20,24.6,0
Minnesota Vikings,16,77,64.4,19,57,24.6,1
Atlanta Falcons,16,87,65.8,25,60,24.8,0
Arizona Cardinals,16,74,67.1,22,52,25,0
St. Louis Rams,16,52,66.6,15,36,25.1,0
San Diego Chargers,16,89,66.4,32,57,25.5,1
Detroit Lions,16,95,66,45,49,25.6,1
Oakland Raiders,16,79,63.9,32,47,25.7,1
New Orleans Saints,16,104,65.9,68,36,25.8,1
Seattle Seahawks,16,75,66.1,26,48,26,1
Carolina Panthers,16,82,66.2,53,30,27,0
Baltimore Ravens,16,81,66.1,45,36,29.2,1
Indianapolis Colts,16,60,68.5,41,19,30.7,0
